id,observations,researchGrade,species,observers,lastObserved,topTaxa,source
arekere-lake,32,29,29,9,2026-08-16,Milvus migrans (Black Kite);Porphyrio poliocephalus (Gray-headed Swamphen);Acridotheres fuscus (Jungle Myna);Acridotheres tristis (Common Myna);Acrocephalus dumetorum (Blyth's Reed Warbler);Ardea cinerea (Grey Heron);Ardea coromanda (Eastern Cattle-Egret);Ardea intermedia (Medium Egret);Ardea purpurea (Purple Heron);Argya malcolmi (Large Grey Babbler),inaturalist-2026-09
arekere-lake-2,0,0,0,0,,,inaturalist-2026-09
arenur-kere,3,1,2,2,2023-12-10,Chromolaena odorata (Siam weed);Poecilia reticulata (Guppy),inaturalist-2026-09
arjunabettahalli-kere,0,0,0,0,,,inaturalist-2026-09
arluru-kere-s,0,0,0,0,,,inaturalist-2026-09
asirvanam-ashram-1,330,223,149,12,2026-09-05,Fowlea piscator (Chequered Keelback);Amandava amandava (Red Avadavat);Ardea coromanda (Eastern Cattle-Egret);Hycleus biundulatus;Colotis danae (Banded Scarlet Tip);Lonchura malacca (Tricolored Munia);Urena lobata (Caesar weed);Aspidomorpha miliaris (Sweetpotato Leaf Beetle);Cadaba fruticosa;Cepora nerissa (Common Gull),inaturalist-2026-09
asirvanam-ashram-2,16,13,11,5,2025-05-21,Fowlea piscator (Chequered Keelback);Ahaetulla oxyrhynca (Indian Vine Snake);Daboia russelii (Russell's Viper);Euphlyctis cyanophlyctis (Common skittering frog);Haliastur indus (Brahminy Kite);Laevicaulis haroldi (Harold Dundee's Leatherback Slug);Lonchura punctulata (Scaly-breasted Munia);Motacilla maderaspatensis (White-browed Wagtail);Papilio polytes (Common Mormon Swallowtail);Polypedates maculatus (Chunam Tree Frog),inaturalist-2026-09
attibele-kere,0,0,0,0,,,inaturalist-2026-09
attur-kere,0,0,0,0,,,inaturalist-2026-09
atturu-kere,61,34,42,14,2026-08-26,Ardea cinerea (Grey Heron);Copsychus saularis (Oriental Magpie-Robin);Gallinula chloropus (Eurasian Moorhen);Ipomoea cairica (Mile-a-minute vine);Merops orientalis (Asian Green Bee-eater);Porphyrio poliocephalus (Gray-headed Swamphen);Agriocnemis pygmaea (Wandering Midget);Anas platyrhynchos (Mallard);Anas poecilorhyncha (Indian Spot-billed Duck);Anhinga melanogaster (Oriental Darter),inaturalist-2026-09
atturu-kunte,0,0,0,0,,,inaturalist-2026-09
avadenahlli-lake,3,3,3,1,2025-10-05,Cepora nerissa (Common Gull);Pareronia hippia (Indian Wanderer);Xylocopa tenuiscapa (Slender-scaped Carpenter Bee),inaturalist-2026-09
avalahali-kunte,0,0,0,0,,,inaturalist-2026-09
avalahalli-katte1,1,0,0,1,2025-11-02,,inaturalist-2026-09
avalahalli-katte2,3,1,1,2,2023-10-06,Talicada nyseus (Red Pierrot),inaturalist-2026-09
avalahalli-kere,21,18,20,1,2023-09-02,Alcedo atthis (Common Kingfisher);Amandava amandava (Red Avadavat);Ardea cinerea (Grey Heron);Ardea purpurea (Purple Heron);Calligrapha bicolorata (Parthenium beetle);Clamator jacobinus (Pied Cuckoo);Corvus macrorhynchos (Large-billed Crow);Creobroter gemmatus (Jeweled Flower Mantis);Euodice malabarica (Indian Silverbill);Hierococcyx varius (Common Hawk-Cuckoo),inaturalist-2026-09
avalahalli-kere-2,368,199,140,20,2025-06-03,Anhinga melanogaster (Oriental Darter);Ardea intermedia (Medium Egret);Porphyrio poliocephalus (Gray-headed Swamphen);Tectona grandis (Teak);Terminalia catappa (Sea Almond);Ardea purpurea (Purple Heron);Biancaea decapetala (Mysore Thorn);Crotalaria pallida (Streaked Rattlepod);Metopidius indicus (Bronze-winged Jacana);Spilopelia chinensis (Spotted Dove),inaturalist-2026-09
avalahalli-kere-3,0,0,0,0,,,inaturalist-2026-09
avalahalli-kunte-1,0,0,0,0,,,inaturalist-2026-09
avalahalli-kunte-2,0,0,0,0,,,inaturalist-2026-09
avalahalli-kunte-3,0,0,0,0,,,inaturalist-2026-09
avalahalli-kunte-4,0,0,0,0,,,inaturalist-2026-09
avalahalli-kunte1,0,0,0,0,,,inaturalist-2026-09
avalahalli-kunte2,0,0,0,0,,,inaturalist-2026-09
avalahalli-lake,9,2,3,2,2024-10-13,Canarium subulatum;Cocos nucifera (coconut palm);Tagetes patula (French marigold),inaturalist-2026-09
avalahalli-lake-2,0,0,0,0,,,inaturalist-2026-09
avalakuppe-lake,0,0,0,0,,,inaturalist-2026-09
averahalli-kere,0,0,0,0,,,inaturalist-2026-09
averhalli-kere,0,0,0,0,,,inaturalist-2026-09
ayyana-kere,0,0,0,0,,,inaturalist-2026-09
ayyannanapalya-lake,0,0,0,0,,,inaturalist-2026-09
b-channasandra-lake,2,2,2,2,2025-07-07,Anhinga melanogaster (Oriental Darter);Appias libythea (Striped Albatross),inaturalist-2026-09
b-narayanapura-kere,1,0,0,1,2026-08-23,,inaturalist-2026-09
bachchahalli-kere,0,0,0,0,,,inaturalist-2026-09
badakukere,0,0,0,0,,,inaturalist-2026-09
badamanavartha-kaval-kere,2,2,2,1,2016-09-03,Perdicula asiatica (Jungle Bush-Quail);Rhipidura albogularis (Spot-breasted Fantail),inaturalist-2026-09
badavamavarthe-kavalu-kunte1,0,0,0,0,,,inaturalist-2026-09
badavamavarthe-kavalu-kunte2,0,0,0,0,,,inaturalist-2026-09
badavamavarthekavalu-hosakere-1,36,7,12,11,2026-08-23,Amata cyssea (Seven-spotted Handmaiden Moth);Belenois aurota (Pioneer White);Geastrum pectinatum (Beaked Earthstar);Ichnocarpus frutescens (Black creeper);Junonia lemonias (Lemon Pansy);Micronia aculeata (Grey Swallowtail Moth);Nephila pilipes (Giant Golden Orbweaver);Peucetia viridana (Indian Green Lynx Spider);Phallus luteus;Polypedates maculatus (Chunam Tree Frog),inaturalist-2026-09
badavamavarthekavalu-kunte3,0,0,0,0,,,inaturalist-2026-09
badavamavarthekavalu-kunte4,0,0,0,0,,,inaturalist-2026-09
badavamavarthekavalu-kunte5,0,0,0,0,,,inaturalist-2026-09
badavamavarthekavalu-kunte6,0,0,0,0,,,inaturalist-2026-09
badavamavarthekavalu-kunte7,5,2,3,2,2025-10-31,Gloriosa superba (flame lily);Saccharum spontaneum (Wild Cane);Taractrocera maevius (Common Grass-dart),inaturalist-2026-09
bagalagunte-govt-lake,2,2,2,2,2025-09-12,Plumbago auriculata (blue plumbago);Telamonia dimidiata (Two-striped Telamonia),inaturalist-2026-09
bagalagunte-kunte1,1,0,0,1,2022-05-11,,inaturalist-2026-09
bagalakunte-kere1,0,0,0,0,,,inaturalist-2026-09
bagalakunte-kunte2,0,0,0,0,,,inaturalist-2026-09
bagalakunte-kunte3,0,0,0,0,,,inaturalist-2026-09
bagaluru-majare-kunte,0,0,0,0,,,inaturalist-2026-09
bagur-lake,0,0,0,0,,,inaturalist-2026-09
bail-narsapur-lake-1,0,0,0,0,,,inaturalist-2026-09
bail-narsapur-lake-2,0,0,0,0,,,inaturalist-2026-09
bail-narsapur-lake-3,0,0,0,0,,,inaturalist-2026-09
bail-narsapur-lake-4,0,0,0,0,,,inaturalist-2026-09
bailakonnenahalli-kunte,0,0,0,0,,,inaturalist-2026-09
bainahalli-lake,0,0,0,0,,,inaturalist-2026-09
bairasandra-kere,0,0,0,0,,,inaturalist-2026-09
baiyappanahalli-kere,0,0,0,0,,,inaturalist-2026-09
balagere-kunte1,0,0,0,0,,,inaturalist-2026-09
balagere-kunte2,0,0,0,0,,,inaturalist-2026-09
balagere-kunte3,0,0,0,0,,,inaturalist-2026-09
balchakuppe-lake,1,1,1,1,2022-09-10,Hirundo smithii (Wire-tailed Swallow),inaturalist-2026-09
balchakuppe-lake-1,0,0,0,0,,,inaturalist-2026-09
balekere,0,0,0,0,,,inaturalist-2026-09
balligere-lake,0,0,0,0,,,inaturalist-2026-09
bammasandra-kunte-1,0,0,0,0,,,inaturalist-2026-09
banahalli-kere-w,0,0,0,0,,,inaturalist-2026-09
banahallli-kere,0,0,0,0,,,inaturalist-2026-09
banasavadi-kere-1,70,29,35,7,2026-09-11,Jamides celeno (Common Cerulean);Tirumala septentrionis (Dark Blue Tiger);Magnolia champaca (Champak Tree);Peltophorum pterocarpum (Yellow Flame Tree);Terminalia arjuna (Arjun tree);Tinospora cordifolia (Guduchi);Vachellia nilotica (Egyptian acacia);Ariadne merione (Common Castor Butterfly);Blattella germanica (German Cockroach);Cascabela thevetia (Be-still tree),inaturalist-2026-09
banasavadi-kunte-4,0,0,0,0,,,inaturalist-2026-09
banasavadi-kunte-5,0,0,0,0,,,inaturalist-2026-09
banasavadi-kunte-6,0,0,0,0,,,inaturalist-2026-09
banasavadi-kunte-7,0,0,0,0,,,inaturalist-2026-09
banasavadi-kunte1,0,0,0,0,,,inaturalist-2026-09
banasavadi-kunte2,0,0,0,0,,,inaturalist-2026-09
banasavadi-kunte3,0,0,0,0,,,inaturalist-2026-09
banasavadi-kunte8,0,0,0,0,,,inaturalist-2026-09
banaswadi-kere2,10,5,8,6,2026-07-06,Apis dorsata (Giant Honey Bee);Cinnamomum verum (Ceylon cinnamon);Eudocima materna (Dot-underwing Moth);Euthalia aconthea (Common Baron);Papilio agenor (Great Mormon);Parkia biglandulosa;Phimenes flavopictus;Psittacula krameri (Rose-ringed Parakeet),inaturalist-2026-09
banavati-lake,0,0,0,0,,,inaturalist-2026-09
bande-mahadevapura-kere,2,1,2,1,2026-08-15,Bidens alba (White beggarticks);Thespesia populnea (Indian tulip tree),inaturalist-2026-09
bandekere,0,0,0,0,,,inaturalist-2026-09
bandenalasandra-lake,0,0,0,0,,,inaturalist-2026-09
bandikodigenahalli-amani-kere,0,0,0,0,,,inaturalist-2026-09
bangalapet-lake,2,1,1,1,2016-10-14,Ariadne merione (Common Castor Butterfly),inaturalist-2026-09
banhalli-lake,0,0,0,0,,,inaturalist-2026-09
bannamangala-n-kere,0,0,0,0,,,inaturalist-2026-09
bannerghatta-lake,0,0,0,0,,,inaturalist-2026-09
bannerghatta-lake-2,1,0,1,1,2024-09-07,Nycticorax nycticorax (Black-crowned Night Heron),inaturalist-2026-09
bannerughatta-kavalu-kunte,11,4,5,3,2024-05-25,Artocarpus heterophyllus (Jackfruit);Cinnyris asiaticus (Purple Sunbird);Eudocima homaena;Harmochirus zabkai;Nyctemera coleta (Marbled White Moth),inaturalist-2026-09
bannerughatta-kunte,2,0,0,2,2025-04-27,,inaturalist-2026-09
bannerughatta-kunte2,3,3,3,1,2026-04-25,Apis dorsata (Giant Honey Bee);Milvus migrans (Black Kite);Pavo cristatus (Indian Peafowl),inaturalist-2026-09
baradi-kere,0,0,0,0,,,inaturalist-2026-09
bariga-mudinahalli-kunte,2,2,2,2,2024-03-24,Cataulacus latus;Psittacula krameri (Rose-ringed Parakeet),inaturalist-2026-09
basammanahalli-kere,0,0,0,0,,,inaturalist-2026-09
basapura-kunte,0,0,0,0,,,inaturalist-2026-09
basavanagar-lake,6,4,6,3,2026-03-10,Carica papaya (Papaya);Cestrum diurnum (day jessamine);Egretta garzetta (Little Egret);Fowlea piscator (Chequered Keelback);Phalacrocorax carbo (Great Cormorant);Samanea saman (Monkey pod tree),inaturalist-2026-09
basavanapalya-lake,1,0,0,1,2024-07-10,,inaturalist-2026-09
basavanapura-kere,0,0,0,0,,,inaturalist-2026-09
basavanapura-kere-2,17,7,7,2,2025-11-22,Apis dorsata (Giant Honey Bee);Duttaphrynus melanostictus (Asian Common Toad);Eriovixia laglaizei (Laglaise's Garden Spider);Myrmaplata plataleoides (Red Weaver Ant-mimicking Spider);Paratrechina longicornis (Longhorn Crazy Ant);Polyrhachis lacteipennis;Rhene flavigera (Beige Beetle Jumper),inaturalist-2026-09
basavanapura-kunte1,0,0,0,0,,,inaturalist-2026-09
basavanapura-lake,0,0,0,0,,,inaturalist-2026-09
bashettihalli-kere,2,1,1,1,2023-06-08,Brachythemis contaminata (Ditch Jewel),inaturalist-2026-09
bavikere-kere,0,0,0,0,,,inaturalist-2026-09
bayappanahalli-lake,0,0,0,0,,,inaturalist-2026-09
beemanakuppe-kunte1,1,1,1,1,2024-04-30,Calotes versicolor (Indian Garden Lizard),inaturalist-2026-09
beesegowdan-a-katte,0,0,0,0,,,inaturalist-2026-09
begihalli-govt-kere,0,0,0,0,,,inaturalist-2026-09
begihalli-kunte1,0,0,0,0,,,inaturalist-2026-09
begihalli-kunte2,0,0,0,0,,,inaturalist-2026-09
begur-kere,0,0,0,0,,,inaturalist-2026-09
begur-kunte-1,0,0,0,0,,,inaturalist-2026-09
begur-kunte2,0,0,0,0,,,inaturalist-2026-09
begur-kunte3,0,0,0,0,,,inaturalist-2026-09
begur-kunte4,0,0,0,0,,,inaturalist-2026-09
begur-kunte5,2,1,1,1,2025-01-22,Leptocoma zeylonica (Purple-rumped Sunbird),inaturalist-2026-09
begur-kunte6,1,1,1,1,2024-07-13,Barleria mysorensis,inaturalist-2026-09
begur-kunte7,0,0,0,0,,,inaturalist-2026-09
begur-kunte8,0,0,0,0,,,inaturalist-2026-09
begur-lake,638,528,165,29,2026-09-07,Porphyrio poliocephalus (Gray-headed Swamphen);Egretta gularis (Western Reef Heron);Ardea cinerea (Grey Heron);Anastomus oscitans (Asian Openbill);Himantopus himantopus (Black-winged Stilt);Ardeola grayii (Indian Pond-Heron);Anthus rufulus (Paddyfield Pipit);Plegadis falcinellus (Glossy Ibis);Metopidius indicus (Bronze-winged Jacana);Anas poecilorhyncha (Indian Spot-billed Duck),inaturalist-2026-09
beguru-kere,0,0,0,0,,,inaturalist-2026-09
belalu-kere,0,0,0,0,,,inaturalist-2026-09
belathuru-kunte,0,0,0,0,,,inaturalist-2026-09
belkere-lake,0,0,0,0,,,inaturalist-2026-09
bellandur-lake,63,43,44,14,2026-01-24,Anthus rufulus (Paddyfield Pipit);Circus aeruginosus (Western Marsh Harrier);Hirundo rustica (Barn Swallow);Ixias pyrene (Yellow Orange Tip);Junonia hierta (Yellow Pansy);Motacilla flava (Western Yellow Wagtail);Prinia inornata (Plain Prinia);Tirumala septentrionis (Dark Blue Tiger);Abutilon hirtum (Florida Keys Indian mallow);Amandava amandava (Red Avadavat),inaturalist-2026-09
bellekanahalli-kere,408,200,151,38,2026-08-22,Castalius rosimon (Common Pierrot);Junonia lemonias (Lemon Pansy);Mycalesis subdita (Tamil Bushbrown);Junonia iphita (Chocolate Pansy);Neptis hylas (Common Sailer);Mycalesis perseus (Dingy Bushbrown);Catopsilia pomona (Lemon Migrant);Luthrodes pandava (Plains Cupid);Acytolepis puspa (Common Hedge Blue);Chilades lajus (Lime Blue),inaturalist-2026-09
bellekanahalli-kunte-2,1,1,1,1,2018-09-01,Caesalpinia pulcherrima (peacock flower),inaturalist-2026-09
bellekanahalli-kunte1,0,0,0,0,,,inaturalist-2026-09
bellihalli-kere,0,0,0,0,,,inaturalist-2026-09
belur-kunte,1,1,1,1,2020-09-29,Graphium agamemnon (Tailed Jay),inaturalist-2026-09
belur-nagasandra-kunte,0,0,0,0,,,inaturalist-2026-09
benachikal-lake,1,0,1,1,2024-01-07,Butea monosperma (Flame of The Forest),inaturalist-2026-09
bendiganahalli-lake,0,0,0,0,,,inaturalist-2026-09
benniganahalli-kunte,0,0,0,0,,,inaturalist-2026-09
beratena-agrahara-lake,1,0,0,1,2026-03-31,,inaturalist-2026-09
bettadasanapura-kunte1,0,0,0,0,,,inaturalist-2026-09
bettadasanapura-kunte2,0,0,0,0,,,inaturalist-2026-09
bettadasanapura-kunte3,1,0,0,1,2023-08-29,,inaturalist-2026-09
bettahalli-kere,0,0,0,0,,,inaturalist-2026-09
bettahalli-kere-2,20,13,15,1,2025-08-22,Ficus benghalensis (Indian banyan);Ypthima huebneri (Common Four-ring);Argya affinis (Yellow-billed Babbler);Capparis zeylanica (Indian caper);Copsychus fulicatus (Indian Robin);Dicaeum erythrorhynchos (Pale-billed Flowerpecker);Dicrurus macrocercus (Black Drongo);Dinopium benghalense (Black-rumped Flameback);Eurema hecabe (Common Grass Yellow);Hierococcyx varius (Common Hawk-Cuckoo),inaturalist-2026-09
bettahallikaval-lake,1,0,0,1,2021-01-03,,inaturalist-2026-09
bettahalsur-kere,0,0,0,0,,,inaturalist-2026-09
bettahalsur-kunte-1,0,0,0,0,,,inaturalist-2026-09
bettahalsur-kunte-2,0,0,0,0,,,inaturalist-2026-09
bettahalsur-kunte-3,0,0,0,0,,,inaturalist-2026-09
bettahalsur-narayanapura-kunte-newly-created,0,0,0,0,,,inaturalist-2026-09
